# Application Error Log
# Generated: 2026-02-04T23:13:26.800392Z
# Format: TIMESTAMP	ERROR_CODE	FILE	SEVERITY	MESSAGE
------------------------------------------------------------------------------------------------------------------------
2026-02-04T13:25:54.800392Z	CC-2004	scripts/migrate.py	Warning	Unhandled exception in worker thread
2026-01-31T19:31:17.800392Z	CC-1001	app/src/main.py	Warning	File not found: app/models/order.py
2026-02-02T23:01:18.800392Z	CC-1003	scripts/migrate.py	Warning	Failed to authenticate user credentials
2026-02-01T22:09:49.800392Z	CC-1004	app/services/queue.py	Warning	Database connection timeout after 30 seconds
2026-01-30T22:45:06.800392Z	CC-3005	app/services/cache.py	Warning	Invalid JSON payload in request body
2026-01-30T00:19:52.800392Z	CC-1003	app/src/handlers.py	Warning	Database connection timeout after 30 seconds
2026-02-03T01:55:57.800392Z	CC-4005	app/src/auth.py	Event	Configuration parameter missing: max_retries
2026-01-29T08:46:23.800392Z	CC-3005	app/models/user.py	Event	Memory allocation failed: insufficient heap space
2026-02-02T05:39:06.800392Z	CC-3001	app/services/queue.py	Warning	Network socket error: connection refused
2026-02-02T14:03:19.800392Z	CC-2003	app/tests/test_auth.py	Event	Permission denied: insufficient privileges
2026-02-03T10:47:39.800392Z	CC-3003	app/tests/test_api.py	Error	Invalid JSON payload in request body
2026-01-30T18:24:54.800392Z	CC-2004	app/tests/test_auth.py	Event	Circular import detected in module
2026-02-03T02:46:53.800392Z	CC-3004	app/src/handlers.py	Warning	Invalid JSON payload in request body
2026-02-03T12:23:00.800392Z	CC-3005	app/models/product.py	Warning	Network socket error: connection refused
2026-02-03T14:18:20.800392Z	CC-5005	app/models/product.py	Event	Network socket error: connection refused
